,county,pop
1,Adair,7682
2,Adams,4029
3,Allamakee,14330
4,Appanoose,12887
5,Audubon,6119
6,Benton,26076
7,Black Hawk,131090
8,Boone,26306
9,Bremer,24276
10,Buchanan,20958
11,Buena Vista,20260
12,Butler,14867
13,Calhoun,9670
14,Carroll,20816
15,Cass,13956
16,Cedar,18499
17,Cerro Gordo,44151
18,Cherokee,12072
19,Chickasaw,12439
20,Clarke,9286
21,Clay,16667
22,Clayton,18129
23,Clinton,49116
24,Crawford,17096
25,Dallas,66135
26,Davis,8753
27,Decatur,8457
28,Delaware,17764
29,Des Moines,40325
30,Dickinson,16667
31,Dubuque,93653
32,Emmet,10302
33,Fayette,20880
34,Floyd,16303
35,Franklin,10680
36,Fremont,7441
37,Greene,9336
38,Grundy,12453
39,Guthrie,10954
40,Hamilton,15673
41,Hancock,11341
42,Hardin,17534
43,Harrison,14928
44,Henry,20145
45,Howard,9566
46,Humboldt,9815
47,Ida,7089
48,Iowa,16355
49,Jackson,19848
50,Jasper,36842
51,Jefferson,16843
52,Johnson,130882
53,Jones,20638
54,Keokuk,10511
55,Kossuth,15543
56,Lee,35862
57,Linn,211226
58,Louisa,11387
59,Lucas,8898
60,Lyon,11581
61,Madison,15679
62,Mahaska,22381
63,Marion,33309
64,Marshall,40648
65,Mills,15059
66,Mitchell,10776
67,Monona,9243
68,Monroe,7970
69,Montgomery,10740
70,Muscatine,42745
71,O'Brien,14398
72,Osceola,6462
73,Page,15932
74,Palo Alto,9421
75,Plymouth,24986
76,Pocahontas,7310
77,Polk,430640
78,Pottawattamie,93158
79,Poweshiek,18914
80,Ringgold,5131
81,Sac,10350
82,Scott,165224
83,Shelby,12167
84,Sioux,33704
85,Story,89542
86,Tama,17767
87,Taylor,6317
88,Union,12534
89,Van Buren,7570
90,Wapello,35625
91,Warren,46225
92,Washington,21704
93,Wayne,6403
94,Webster,38013
95,Winnebago,10866
96,Winneshiek,21056
97,Woodbury,102172
98,Worth,7598
99,Wright,13229
